location,people_vaccinated_per_hundred
Gibraltar,18.905714285714286
United Arab Emirates,16.94764705882353
Israel,16.621794871794872
Seychelles,10.425555555555555
England,5.894210526315789
United Kingdom,5.648421052631579
Northern Ireland,5.614
Bahrain,4.870344827586207
Isle of Man,4.58
Wales,4.569444444444445
Scotland,4.5183333333333335
Malta,2.876153846153846
United States,2.686666666666667
Iceland,2.0566666666666666
Finland,1.95
Denmark,1.9416666666666667
Serbia,1.811
Cyprus,1.75
Slovenia,1.5104347826086957
Spain,1.465
Hungary,1.44625
Northern Cyprus,1.3933333333333333
Bermuda,1.335
Ireland,1.26
Switzerland,1.254
Lithuania,1.251923076923077
Italy,1.1519354838709677
Turkey,1.0692857142857142
Austria,1.0310526315789474
Portugal,0.986
Estonia,0.9575862068965517
Slovakia,0.9536363636363636
Germany,0.9163333333333333
Sweden,0.9
Romania,0.8723333333333334
Poland,0.8435714285714286
European Union,0.8283870967741935
Croatia,0.775
Czechia,0.7616129032258064
Canada,0.7584090909090908
Belgium,0.7023076923076924
Luxembourg,0.6636363636363636
France,0.6617391304347826
Costa Rica,0.6533333333333333
Norway,0.5950000000000001
Latvia,0.5745833333333333
Argentina,0.5671428571428571
Greece,0.5660714285714286
China,0.554
Saudi Arabia,0.5125
Netherlands,0.42533333333333334
Singapore,0.39999999999999997
Oman,0.3323076923076923
Russia,0.325
World,0.2765909090909091
Bulgaria,0.22208333333333333
Mexico,0.20964285714285716
Chile,0.133
Brazil,0.13272727272727272
Panama,0.07666666666666666
India,0.07333333333333333
Kuwait,0.06
Indonesia,0.05
Ecuador,0.0
