,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred
22,0.54,0.01
23,0.55,0.04
24,0.56,0.06
25,0.57,0.06
26,0.58,0.07
27,0.58,0.07
28,0.59,0.09
101,1.09,0.0
102,1.24,0.0
103,1.37,0.01
104,1.56,0.01
105,1.75,0.01
106,1.79,0.01
107,1.8,0.01
108,1.83,0.01
147,0.27,0.02
148,0.27,0.05
149,0.29,0.06
150,0.3,0.07
151,0.31,0.07
152,0.31,0.07
153,0.31,0.07
154,0.32,0.07
155,0.34,0.08
220,0.06,0.02
221,0.07,0.03
222,0.07,0.04
223,0.07,0.04
224,0.07,0.04
225,0.13,0.04
226,0.22,0.04
227,0.24,0.04
228,0.28,0.04
229,0.29,0.04
230,0.29,0.04
232,0.29,0.04
233,0.3,0.05
293,0.49,0.0
296,0.57,0.0
303,0.9,0.05
330,1.41,0.29
347,1.75,0.23
369,1.11,0.01
370,1.21,0.02
371,1.33,0.05
372,1.44,0.07
373,1.57,0.09
374,1.7,0.1
375,1.73,0.1
376,1.75,0.11
377,1.83,0.13
378,1.91,0.16
398,2.84,0.0
399,2.92,0.0
400,2.96,0.01
401,3.03,0.05
402,3.07,0.09
403,3.1,0.12
404,3.13,0.16
405,3.14,0.26
406,3.15,0.38
407,3.16,0.48
408,3.16,0.53
425,2.05,0.04
432,3.48,0.67
433,3.7,0.7
434,4.01,0.72
435,4.43,0.74
436,4.92,0.75
437,5.49,0.75
438,5.98,0.76
439,6.25,0.76
440,6.55,0.77
441,7.08,0.77
442,7.65,0.78
443,8.28,0.78
444,9.04,0.78
445,9.82,0.78
446,10.18,0.78
447,10.59,0.79
478,0.01,0.0
479,0.02,0.0
480,0.04,0.0
481,0.07,0.0
482,0.09,0.0
483,0.1,0.0
484,0.12,0.0
485,0.15,0.0
486,0.21,0.0
487,0.27,0.0
488,0.33,0.0
489,0.41,0.0
490,0.5,0.0
491,0.54,0.0
492,0.59,0.0
493,0.68,0.0
494,0.78,0.0
495,0.9,0.0
496,1.02,0.0
497,1.14,0.0
498,1.18,0.0
499,1.23,0.0
500,1.35,0.01
501,1.44,0.03
502,1.54,0.05
503,1.63,0.07
504,1.76,0.09
505,1.81,0.11
506,1.84,0.13
507,1.94,0.17
508,1.99,0.2
534,1.91,0.08
535,1.99,0.13
559,0.03,0.0
560,0.05,0.0
561,0.1,0.0
562,0.17,0.0
563,0.22,0.0
564,0.25,0.0
565,0.31,0.0
566,0.34,0.0
567,0.4,0.0
568,0.46,0.0
569,0.53,0.0
570,0.59,0.0
571,0.66,0.0
572,0.73,0.0
573,0.77,0.0
574,0.85,0.0
575,0.94,0.0
576,1.06,0.0
577,1.18,0.0
578,1.3,0.0
579,1.36,0.0
580,1.4,0.02
581,1.46,0.04
582,1.53,0.07
583,1.62,0.13
584,1.69,0.17
585,1.79,0.21
586,1.85,0.26
587,1.89,0.3
588,1.96,0.34
626,0.81,0.0
627,0.88,0.01
628,1.01,0.02
629,1.16,0.02
630,1.33,0.02
631,1.48,0.03
633,1.63,0.08
634,1.75,0.12
656,1.34,0.02
657,1.35,0.03
658,1.39,0.04
659,1.44,0.06
660,1.48,0.07
661,1.5,0.08
662,1.52,0.1
663,1.55,0.13
685,1.68,0.14
690,3.06,1.4
747,4.58,0.37
764,16.15,0.0
765,17.56,0.0
766,18.72,0.0
767,20.03,0.0
768,20.79,0.0
769,21.29,0.0
770,21.72,0.07
771,21.95,0.29
772,22.22,0.69
773,22.81,1.33
774,23.46,2.11
775,23.81,2.52
776,24.14,2.81
777,24.93,3.76
778,25.73,5.11
779,26.57,6.66
780,27.47,8.27
781,28.29,10.09
782,28.74,10.89
783,29.21,11.49
784,30.03,13.05
785,31.05,14.54
786,31.98,15.92
807,1.89,0.0
808,1.94,0.0
809,2.0,0.01
810,2.04,0.01
811,2.08,0.02
812,2.11,0.05
813,2.12,0.08
814,2.13,0.13
815,2.14,0.18
816,2.14,0.28
817,2.15,0.37
869,1.85,0.04
870,1.96,0.1
871,2.04,0.24
872,2.1,0.31
873,2.13,0.33
874,2.14,0.33
875,2.14,0.33
877,2.14,0.33
878,2.22,0.36
905,1.17,0.2
957,0.32,0.0
958,0.36,0.0
959,0.36,0.0
960,0.38,0.01
961,0.38,0.01
962,0.38,0.01
963,0.41,0.01
964,0.46,0.02
965,0.46,0.02
966,0.47,0.02
967,0.48,0.02
968,0.48,0.02
1020,2.15,0.07
1027,4.12,0.74
1028,4.45,0.81
1029,4.83,0.94
1030,5.42,1.0
1031,6.05,1.02
1032,6.23,1.03
1033,6.36,1.07
1034,6.64,1.11
1035,7.02,1.14
1036,7.31,1.16
1037,7.62,1.18
1038,7.98,1.19
1039,8.15,1.2
1040,8.22,1.2
1041,8.43,1.2
1042,8.62,1.2
1064,0.94,0.0
1065,0.96,0.01
1066,1.04,0.02
1067,1.22,0.03
1068,1.36,0.03
1069,1.42,0.04
1070,1.43,0.04
1071,1.43,0.04
1072,1.44,0.04
1093,0.49,0.01
1094,0.49,0.04
1095,0.49,0.06
1096,0.49,0.09
